Metric,Model,Dataset,Value
Distinct-1,HRED_Baseline,UDC,0.8868486262310102
Distinct-2,HRED_Baseline,UDC,0.7832569028833108
ROUGE-L,HRED_Baseline,UDC,0.1956657719263226
ROUGE-W,HRED_Baseline,UDC,0.13607477331401388
ROUGE-1,HRED_Baseline,UDC,0.2054921189323177
ROUGE-2,HRED_Baseline,UDC,0.034198859490506
ROUGE-3,HRED_Baseline,UDC,0.004751704181289539
ROUGE-4,HRED_Baseline,UDC,0.0016526806198820848
BLEU-1,HRED_Baseline,UDC,0.08162494501921937
BLEU-2,HRED_Baseline,UDC,0.001604469965098009
BLEU-3,HRED_Baseline,UDC,0.00031090305617964987
BLEU-4,HRED_Baseline,UDC,0.00011805038114471647
average,HRED_Baseline,UDC,0.56419603303
greedy-matching,HRED_Baseline,UDC,0.416837656907
extrema,HRED_Baseline,UDC,0.332702939831
Distinct-1,VHRED,UDC,0.9398442763427736
Distinct-2,VHRED,UDC,0.8072900787719915
ROUGE-L,VHRED,UDC,0.18004588229429538
ROUGE-W,VHRED,UDC,0.12504357824380302
ROUGE-1,VHRED,UDC,0.18877719837896834
ROUGE-2,VHRED,UDC,0.02318028099923193
ROUGE-3,VHRED,UDC,0.002869532860870348
ROUGE-4,VHRED,UDC,0.0007011367750691444
BLEU-1,VHRED,UDC,0.07588753325382994
BLEU-2,VHRED,UDC,0.0009879628291101453
BLEU-3,VHRED,UDC,0.00019262039703573267
BLEU-4,VHRED,UDC,0.0
average,VHRED,UDC,0.530114363795
greedy-matching,VHRED,UDC,0.383760924248
extrema,VHRED,UDC,0.305011305704
Distinct-1,LSTM_Baseline,UDC,0.9697719416376996
Distinct-2,LSTM_Baseline,UDC,0.623211532419325
ROUGE-L,LSTM_Baseline,UDC,0.19289301500076259
ROUGE-W,LSTM_Baseline,UDC,0.1376520360385548
ROUGE-1,LSTM_Baseline,UDC,0.19593789634091227
ROUGE-2,LSTM_Baseline,UDC,0.028954895934086785
ROUGE-3,LSTM_Baseline,UDC,0.001632836907412627
ROUGE-4,LSTM_Baseline,UDC,0.0005115307192316384
BLEU-1,LSTM_Baseline,UDC,0.08016746974520322
BLEU-2,LSTM_Baseline,UDC,0.0
BLEU-3,LSTM_Baseline,UDC,0.0
BLEU-4,LSTM_Baseline,UDC,0.0
average,LSTM_Baseline,UDC,0.52311586784
greedy-matching,LSTM_Baseline,UDC,0.168832657995
extrema,LSTM_Baseline,UDC,0.306878355145
